ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
797,25510,,,,,,,,,,,,,,2711,10070
779,24980,,,,,,,,,,,,,,2561,9480
763,24500,,,,,,,,,,,,,,2442,9040
747,23980,,,,,,,,,,,,,,2300,8500
730,23470,,,,,,,,,,,,,,2187,8090
713,22940,,,,,,,,,,,,,,2025,7470
698,22490,,,,,,,,,,,,,,1886,6940
683,22000,,,,,,,,,,,,,,1762,6470
666,21480,,,,,,,,,,,,,,1643,6010
653,21070,,,,,,,,,,,,,,1521,5530
637,20540,,,,,,,,,,,,,,1403,5070
622,20080,,,,,,,,,,,,,,1238,4440
604,19500,,,,,,,,,,,,,,1138,4060
590,19060,,,,,,,,,,,,,,990,3480
574,18540,,,,,,,,,,,,,,875,3040
557,18000,,,,,,,,,,,,,,715,2440
541,17490,,,,,,,,,,,,,,607,2030
529,17100,,,,,,,,,,,,,,475,1520
510,16500,,,,,,,,,,,,,,338,1010
494,15970,,,,,,,,,,,,,,200,480
,,,,,,,,,,,,,,,18,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,31.556,,,,,,,,,,,,,,m,3.80198
c,427.047,,,,,,,,,,,,,,c,-248.59817
