ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
776,25450,,,,,,,,,,,,,,,
761,24950,,,,,,,,,,,,,,,
747,24500,,,,,,,,,,,,,,,
731,23990,,,,,,,,,,,,,,,
716,23500,,,,,,,,,,,,,,,
704,23010,,,,,,,,,,,,,,,
686,22500,,,,,,,,,,,,,,,
671,22010,,,,,,,,,,,,,,,
656,21510,,,,,,,,,,,,,,,
639,20960,,,,,,,,,,,,,,,
627,20550,,,,,,,,,,,,,,,
611,20040,,,,,,,,,,,,,,,
597,19550,,,,,,,,,,,,,,,
582,19060,,,,,,,,,,,,,,,
564,18460,,,,,,,,,,,,,,,
551,18050,,,,,,,,,,,,,,,
535,17500,,,,,,,,,,,,,,,
520,17020,,,,,,,,,,,,,,,
505,16510,,,,,,,,,,,,,,,
489,16000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,32.955,,,,,,,,,,,,,,,
c,-117.7,,,,,,,,,,,,,,,
