ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
790,25500,791,,,,,,,,,,,,,5116,9500
770,24860,771,,,,,,,,,,,,,4855,9000
756,24425,757,,,,,,,,,,,,,4587,8500
742,23980,743,,,,,,,,,,,,,4313,8000
725,23410,726,,,,,,,,,,,,,4043,7500
709,22900,710,,,,,,,,,,,,,3775,7000
695,22450,696,,,,,,,,,,,,,3504,6500
680,21970,681,,,,,,,,,,,,,3237,6000
663,21400,664,,,,,,,,,,,,,2966,5500
651,20970,652,,,,,,,,,,,,,2694,5000
633,20430,634,,,,,,,,,,,,,2425,4500
621,20040,622,,,,,,,,,,,,,2153,4000
605,19500,606,,,,,,,,,,,,,1873,3500
588,18960,589,,,,,,,,,,,,,1551,3000
573,18460,574,,,,,,,,,,,,,1200,2500
557,17960,558,,,,,,,,,,,,,900,2000
543,17480,544,,,,,,,,,,,,,650,1500
524,16890,525,,,,,,,,,,,,,300,1000
511,16460,512,,,,,,,,,,,,,100,500
496,15980,497,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,32.481,,,,,,,,,,,,,,m,1.7759
c,-138.87,,,,,,,,,,,,,,c,303.9
