ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
802,26000,,,,,,,,,,,,,,74,0
786,25500,,,,,,,,,,,,,,306,500
770,25000,,,,,,,,,,,,,,540,1000
755,24500,,,,,,,,,,,,,,1011,2000
740,24000,,,,,,,,,,,,,,1480,3000
725,23500,,,,,,,,,,,,,,1949,4000
709,23000,,,,,,,,,,,,,,2415,5000
693,22500,,,,,,,,,,,,,,2887,6000
678,22000,,,,,,,,,,,,,,3357,7000
663,21500,,,,,,,,,,,,,,3827,8000
647,21000,,,,,,,,,,,,,,4295,9000
632,20500,,,,,,,,,,,,,,4766,10000
616,20000,,,,,,,,,,,,,,5233,11000
600,19500,,,,,,,,,,,,,,5708,12000
585,19000,,,,,,,,,,,,,,6181,13000
,,,,,,,,,,,,,,,6658,14000
,,,,,,,,,,,,,,,7103,15000
,,,,,,,,,,,,,,,7573,16000
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,32.324,,,,,,,,,,,,,,m,2.1304
c,86.55,,,,,,,,,,,,,,c,-152.86
