ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
792,25520,,,,,,,,,,,,,,4552,10140
775,24980,,,,,,,,,,,,,,4148,9220
760,24500,,,,,,,,,,,,,,4003,8890
744,23980,,,,,,,,,,,,,,3867,8600
728,23470,,,,,,,,,,,,,,3566,7930
713,22990,,,,,,,,,,,,,,3409,7570
697,22480,,,,,,,,,,,,,,3132,6940
683,22020,,,,,,,,,,,,,,2894,6400
666,21490,,,,,,,,,,,,,,2691,5960
653,21060,,,,,,,,,,,,,,2516,5550
637,20540,,,,,,,,,,,,,,2270,4990
621,20030,,,,,,,,,,,,,,2034,4470
604,19510,,,,,,,,,,,,,,1839,4030
590,19030,,,,,,,,,,,,,,1635,3580
573,18500,,,,,,,,,,,,,,1354,2940
557,17970,,,,,,,,,,,,,,1156,2500
542,17510,,,,,,,,,,,,,,898,1910
529,17080,,,,,,,,,,,,,,696,1470
511,16510,,,,,,,,,,,,,,482,990
493,15940,,,,,,,,,,,,,,256,470
,,,,,,,,,,,,,,,146,220
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,32.0795,,,,,,,,,,,,,,m,2.23784
c,115.546,,,,,,,,,,,,,,c,-93.36269
