ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
263,10.1,,,,,,,,,,,,,,0.5,0
312,12,,,,,,,,,,,,,,1640,3.5
394.5,15.1,,,,,,,,,,,,,,2165,4.2
527,20.1,,,,,,,,,,,,,,2742,5
631,24,,,,,,,,,,,,,,3120,5.4
,,,,,,,,,,,,,,,3435,5.9
,,,,,,,,,,,,,,,3660,6.3
,,,,,,,,,,,,,,,3951,6.8
,,,,,,,,,,,,,,,4177,7.17
,,,,,,,,,,,,,,,4450,7.64
,,,,,,,,,,,,,,,4700,8.1
,,,,,,,,,,,,,,,5155,8.8
,,,,,,,,,,,,,,,5310,9.1
