ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
135,5200,,,,,,,,,,,,,,,
275,10500,,,,,,,,,,,,,,,
412,15700,,,,,,,,,,,,,,,
455,17300,,,,,,,,,,,,,,,
506,19200,,,,,,,,,,,,,,,
516,19600,,,,,,,,,,,,,,,
526,20000,,,,,,,,,,,,,,,
534,20300,,,,,,,,,,,,,,,
542,20600,,,,,,,,,,,,,,,
555,21000,,,,,,,,,,,,,,,
561,21300,,,,,,,,,,,,,,,
569,21600,,,,,,,,,,,,,,,
580,22000,,,,,,,,,,,,,,,
590,22400,,,,,,,,,,,,,,,
595,22600,,,,,,,,,,,,,,,
600,22800,,,,,,,,,,,,,,,
613,23300,,,,,,,,,,,,,,,
622,23600,,,,,,,,,,,,,,,
627,23800,,,,,,,,,,,,,,,
632,24000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
m,37.793,,,,,,,,,,,,,,,
c,102.67,,,,,,,,,,,,,,,
