ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
,,,,,,,,,,,,,,,6304,9500
,,,,,,,,,,,,,,,5970,9000
,,,,,,,,,,,,,,,5639,8500
,,,,,,,,,,,,,,,5308,8000
,,,,,,,,,,,,,,,4979,7500
,,,,,,,,,,,,,,,4643,7000
,,,,,,,,,,,,,,,4311,6500
,,,,,,,,,,,,,,,3981,6000
,,,,,,,,,,,,,,,3648,5500
,,,,,,,,,,,,,,,3318,5000
,,,,,,,,,,,,,,,2986,4500
,,,,,,,,,,,,,,,2649,4000
,,,,,,,,,,,,,,,2313,3500
,,,,,,,,,,,,,,,1970,3000
,,,,,,,,,,,,,,,1600,2500
,,,,,,,,,,,,,,,1276,2000
,,,,,,,,,,,,,,,926,1500
,,,,,,,,,,,,,,,568,1000
,,,,,,,,,,,,,,,240,500
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,m,1.4851
,,,,,,,,,,,,,,,c,104.61
